Compound_cat1	Compound_cat2	Compound	Transporter	TransportCluster	Family	Desc	Comment	
Carbohydrates	Phosphotransferase system		PTS	T60.15	COG1447	Phosphotransferase system cellobiose-specific component IIA		
Carbohydrates	Phosphotransferase system		PTS	T60.6	COG1263	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific		
Carbohydrates	Phosphotransferase system		PTS	T60.6	COG1264	Phosphotransferase system IIB components		
Carbohydrates	Phosphotransferase system		PTS	T60.6	COG2190	Phosphotransferase system IIA components		
Carbohydrates	Phosphotransferase system		PTS	T60.6	COG3775	Phosphotransferase system, galactitol-specific IIC component		
Carbohydrates	Phosphotransferase system		PTS	T60.6	COG3925	N-terminal domain of the phosphotransferase system fructose-specific component IIB		
Carbohydrates	Phosphotransferase system		PTS	T60.6	PF00358	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1		
Carbohydrates	Phosphotransferase system		PTS	T60.6	PF00367	phosphotransferase system, EIIB		
Carbohydrates	Phosphotransferase system		PTS	T60.6	PF03611	PTS system sugar-specific permease component		
Carbohydrates	Phosphotransferase system		PTS	T60.6	PF13303	Phosphotransferase system, EIIC		
Carbohydrates	Phosphotransferase system			T60.7	TIGR02477	PFKA_PPi: diphosphate--fructose-6-phosphate 1-phosphotransferase		
Carbohydrates	Sialate			T61	TIGR00891	2A0112: MFS transporter, sialate:H+ symporter (SHS) family		
Carboxylic Acids	Carboxylic Acids			T19.5	TIGR00892	2A0113: monocarboxylate transporter		
Carboxylic Acids	Carboxylic Acids			T196	PF03390	2-hydroxycarboxylate transporter family		
Carboxylic Acids	Carboxylic Acids			T40	PF03480	Bacterial extracellular solute-binding protein, family 7		
Carboxylic Acids	Carboxylic Acids			T40.3	PF06808	DctM-like transporters		
Carboxylic Acids	Carboxylic Acids			T40.1	COG4664	TRAP-type mannitol/chloroaromatic compound transport system, large permease component		
Carboxylic Acids	Carboxylic Acids			T40.1	COG4663	TRAP-type mannitol/chloroaromatic compound transport system, periplasmic component		
Carboxylic Acids	Carboxylic Acids			T40.1	COG4665	TRAP-type mannitol/chloroaromatic compound transport system, small permease component		
Carboxylic Acids	Carboxylic Acids			T40.2	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component		
Carboxylic Acids	Carboxylic Acids			T40.2	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component		
Carboxylic Acids	Carboxylic Acids			T40.2	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component		
Carboxylic Acids	Carboxylic Acids			T40.3	TIGR00786	dctM: TRAP transporter, DctM subunit		
Carboxylic Acids	Carboxylic Acids			T40.3	TIGR00787	dctP: TRAP transporter solute receptor, DctP family		
Carboxylic Acids	Carboxylic Acids			T40.3	PF04290	Tripartite ATP-independent periplasmic transporters, DctQ component		
Carboxylic Acids	Carboxylic Acids			T40.4	TIGR02123	TRAP_fused: TRAP transporter, 4TM/12TM fusion protein		
Carboxylic Acids	Carboxylic Acids			T40.4	COG4666	TRAP-type uncharacterized transport system, fused permease components		
Carboxylic Acids	Carboxylic Acids			T40.4	COG2358	TRAP-type uncharacterized transport system, periplasmic component		
Carboxylic Acids	Carboxylic Acids			T40.5	TIGR02122	TRAP_TAXI: TRAP transporter solute receptor, TAXI family		
Carboxylic Acids	Carboxylic Acids			T40.6	COG5122	Transport protein particle (TRAPP) complex subunit		
Carboxylic Acids	Carboxylic Acids			T40.6	COG5128	Transport protein particle (TRAPP) complex subunit		
Carboxylic Acids	Carboxylic Acids			T40.6	PF04051	Transport protein particle (TRAPP) component		
Carboxylic Acids	Carboxylic Acids			T40.7	PF03401	Tripartite tricarboxylate transporter family receptor		
Carboxylic Acids	Carboxylic Acids			T40.7	PF01970	Tripartite tricarboxylate transporter TctA family		
Carboxylic Acids	Carboxylic Acids			T40.7	PF07331	Tripartite tricarboxylate transporter TctB family		
Carboxylic Acids	Carboxylic Acids			T41.1	TIGR00785	dass: transporter, divalent anion:Na+ symporter (DASS) family		
Carboxylic Acids	Carboxylic Acids			T41.1	COG0471	Di- and tricarboxylate transporters		
Carboxylic Acids	Carboxylic Acids			T41.1	PF00939	Sodium:sulfate symporter transmembrane region		
Carboxylic Acids	Carboxylic Acids			T76.1	TIGR00816	tdt: C4-dicarboxylate transporter/malic acid transport protein		
Carboxylic Acids	Carboxylic Acids			T76.1	COG1275	Tellurite resistance protein and related permeases		
Carboxylic Acids	Carboxylic Acids			T76.2	COG3069	C4-dicarboxylate transporter		
Carboxylic Acids	Carboxylic Acids			T76.2	TIGR00771	DcuC: transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family		
Carboxylic Acids	Carboxylic Acids			T76.2	TIGR00770	Dcu: transporter, anaerobic C4-dicarboxylate uptake (Dcu) family		
Carboxylic Acids	Carboxylic Acids			T76.3	COG4191	Signal transduction histidine kinase regulating C4-dicarboxylate transport system		
Carboxylic Acids	Carboxylic Acids			T76.4	PF03605	Anaerobic c4-dicarboxylate membrane transporter		
Carboxylic Acids	Carboxylic Acids			T76.4	COG2704	Anaerobic C4-dicarboxylate transporter		
Carboxylic Acids	Carboxylic Acids			T76.5	PF11739	Dicarboxylate transport		
Carboxylic Acids	Carboxylic Acids			T76.6	COG1301	Na+/H+-dicarboxylate symporters		
Carboxylic Acids	Carboxylic Acids			T76.6	COG3633	Na+/serine symporter		
Carboxylic Acids	Carboxylic Acids			T76.6	COG1823	Predicted Na+/dicarboxylate symporter		
Carboxylic Acids	Carboxylic Acids			T76.6	PF00375	Sodium:dicarboxylate symporter family		
Carboxylic Acids	Formate|Oxalate			T166	TIGR04259	oxa_formateAnti: oxalate/formate antiporter		
Carboxylic Acids	Formate|Oxalate|Galactonate|Phosphoglycerate			T19.8	TIGR00890	2A0111: oxalate/formate antiporter family transporter		
Carboxylic Acids	Formate|Oxalate|Galactonate|Phosphoglycerate			T19.8	TIGR00893	2A0114: D-galactonate transporter		
Carboxylic Acids	Formate|Oxalate|Galactonate|Phosphoglycerate			T19.8	TIGR00881	2A0104: phosphoglycerate transporter family protein		
Carboxylic Acids	Formate|Oxalate|Galactonate|Phosphoglycerate			T19.8	COG2271	Sugar phosphate permease		
Carboxylic Acids	Gluconate			T102.1	COG2610	H+/gluconate symporter and related permeases		
Carboxylic Acids	Gluconate			T102.1	PF02447	GntP family permease		
Carboxylic Acids	Gluconate			T102.1	TIGR00791	gntP: transporter, gluconate:H+ symporter (GntP) family		
Carboxylic Acids	Gluconate			T102.2	COG5037	Gluconate transport-inducing protein		
Carboxylic Acids	Gluconate			T102.3	PF03812	2-keto-3-deoxygluconate permease		
Carboxylic Acids	Gluconate			T102.3	TIGR00793	kdgT: 2-keto-3-deoxygluconate transporter		
Carboxylic Acids	Lactate			T98	TIGR00795	lctP: transporter, lactate permease (LctP) family		
Carboxylic Acids	Lactate			T98	PF02652	L-lactate permease		
Carboxylic Acids	Lactate			T98	COG1620	L-lactate permease		
Carboxylic Acids	Malate			T209	PF11744	Aluminium activated malate transporter		
Carboxylic Acids	Malonate			T50	TIGR00807	malonate_madL: malonate transporter, MadL subunit		
Carboxylic Acids	Malonate			T50	PF03817	Malonate transporter MadL subunit		
Carboxylic Acids	Malonate			T50	PF03818	Malonate/sodium symporter MadM subunit		
Carboxylic Acids	Malonate			T50	TIGR00808	malonate_madM: malonate transporter, MadM subunit		
Carboxylic Acids	Malonate			T50	TIGR03136	malonate_biotin: Na+-transporting malonate decarboxylase, carboxybiotin decarboxylase subunit		
Cellular functions	Cellular functions			T37	COG0577	ABC-type antimicrobial peptide transport system, permease component		
Cellular functions	Cellular functions			T37	COG4591	ABC-type transport system, involved in lipoprotein release, permease component		
Cellular functions	Cellular functions			T37	TIGR03434	ADOP: acidobacterial duplicated orphan permease		
Cellular functions	Cellular functions			T37	PF02687	FtsX-like permease family		
Cellular functions	Cellular functions			T37	TIGR00439	ftsX: putative protein insertion permease FtsX		
Cellular functions	Cellular functions			T37	COG3127	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component		
Cellular functions	Organelle transport			T62.3	TIGR00993	3a0901s04IAP86: chloroplast protein import component Toc86/159, G and M domains		
Cellular functions	Organelle transport			T62.3	TIGR00994	3a0901s05TIC20: chloroplast protein import component, Tic20 family		
Cellular functions	Organelle transport			T62.3	TIGR00995	3a0901s06TIC22: chloroplast protein import component, Tic22 family		
Cellular functions	DNA translocation			T110.3	PF12538	DNA transporter		
Cellular functions	DNA uptake			T110.1	COG4105	DNA uptake lipoprotein		
Cellular functions	DNA uptake			T110.2	COG1555	DNA uptake protein and related DNA-binding proteins		
Cellular functions	DNA uptake			T110.4	COG4098	Superfamily II DNA/RNA helicase required for DNA uptake (late competence protein)		
Cellular functions	DNA uptake			T173	COG0758	Predicted Rossmann fold nucleotide-binding protein involved in DNA uptake		
Cellular functions	Efflux			T104	COG0679	Predicted permeases		
Cellular functions	Efflux			T104	TIGR00946	2a69: auxin efflux carrier		
Cellular functions	Efflux			T104	PF03547	Membrane transport protein		
Cellular functions	Efflux			T12.7	TIGR00998	8a0101: efflux pump membrane protein		
Cellular functions	Efflux			T12.8	COG0841	Cation/multidrug efflux pump		
Cellular functions	Efflux			T12.9	COG1566	Multidrug resistance efflux pump		
Cellular functions	Efflux			T19.6	TIGR00710	efflux_Bcr_CflA: drug resistance transporter, Bcr/CflA subfamily		
Cellular functions	Efflux			T19.7	TIGR00711	efflux_EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family		
Cellular functions	Efflux			T227	PF13536	Multidrug resistance efflux transporter		
Cellular functions	Efflux			T79	TIGR00797	matE: MATE efflux family protein		
Cellular functions	Efflux			T79	COG0534	Na+-driven multidrug efflux pump		
Cellular functions	Efflux		acr3	T94	PF02374	Anion-transporting ATPase	Blueprint Marker	
Cellular functions	Efflux		acr3	T94	TIGR00345	GET3_arsA_TRC40: transport-energizing ATPase, TRC40/GET3/ArsA family	Blueprint Marker	
Cellular functions	Efflux		acr3	T94	COG0798	Arsenite efflux pump ACR3 and related permeases	Blueprint Marker	
Cellular functions	Efflux		acr3	T94	TIGR00935	2a45: arsenite/antimonite efflux pump membrane protein	Blueprint Marker	
Cellular functions	Export			T120	PF06695	Putative small multi-drug export protein		
Cellular functions	Export			T121	PF08389	Exportin 1-like protein		
Cellular functions	Export			T123	COG2244	Membrane protein involved in the export of O-antigen and teichoic acid		
Cellular functions	Export			T124	PF01311	Bacterial export proteins, family 1		
Cellular functions	Export			T125	PF01313	Bacterial export proteins, family 3		
Cellular functions	Export			T126	TIGR02222	chap_CsaA: export-related chaperone protein CsaA		
Cellular functions	Export			T129	TIGR03939	PGA_TPR_OMP: poly-beta-1,6 N-acetyl-D-glucosamine export porin PgaA		
Cellular functions	Export			T130	COG4258	Predicted exporter		
Cellular functions	Export			T131	TIGR04089	exp_by_SipW_III: alternate signal-mediated exported protein, RER_14450 family		
Cellular functions	Export			T132	TIGR04090	exp_by_SipW_IV: alternate signal-mediated exported protein, CPF_0494 family		
Cellular functions	Export			T133	TIGR04077	expor_sig_YdyF: exported signaling peptide, YydF/SAG_2028 family		
Cellular functions	Export			T134	TIGR04034	export_SdpA: antimicrobial peptide system protein, SdpA family		
Cellular functions	Export			T135	TIGR04033	export_SdpB: antimicrobial peptide system protein, SdpB family		
Cellular functions	Export			T136	PF07268	Exported protein precursor (EppA/BapA)		
Cellular functions	Export			T137	PF00844	Geminivirus coat protein/nuclear export factor BR1 family		
Cellular functions	Flagellar			T122	TIGR02473	flagell_FliJ: flagellar export protein FliJ		
Cellular functions	Flagellar			T156.1	PF12317	Intraflagellar transport complex B protein 46 C terminal		
Cellular functions	Flagellar			T156.2	PF10498	Intra-flagellar transport protein 57		
Cellular functions	Flagellar			T156.3	PF14931	Intraflagellar transport complex B, subunit 20		
Cellular functions	Flagellar			T156.4	PF15305	Intraflagellar transport protein 43		
Cellular functions	Organelle transport			T62.2	PF11093	Mitochondrial export protein Som1		
Cellular functions	Organelle transport			T62.1	TIGR00983	3a0801s02tim23: mitochondrial import inner membrane translocase subunit		
Cellular functions	Organelle transport			T62.1	TIGR00984	3a0801s03tim44: mitochondrial import inner membrane, translocase subunit		
Cellular functions	Organelle transport			T62.1	TIGR00985	3a0801s04tom: mitochondrial import receptor subunit		
Cellular functions	Organelle transport			T62.1	TIGR00986	3a0801s05tom22: mitochondrial import receptor subunit		
Cellular functions	Organelle transport			T62.1	TIGR00989	3a0801s07tom40: mitochondrial import receptor subunit		
Cellular functions	Organelle transport			T62.1	TIGR00990	3a0801s09: mitochondrial precursor proteins import receptor		
Cellular functions	Organelle transport			T62.1	TIGR00980	3a0801so1tim17: mitochondrial import inner membrane translocase subunit tim17		
Cellular functions	Organelle transport			T62.1	PF11711	Inner membrane protein import complex subunit Tim54		
Cellular functions	Organelle transport			T62.1	COG5596	Mitochondrial import inner membrane translocase, subunit TIM22		
Cellular functions	Organelle transport			T62.1	PF08566	Mitochondrial import protein Pam17		
Cellular functions	Organelle transport			T62.1	PF10642	Mitochondrial import receptor subunit or translocase		
Cellular functions	Organelle transport			T62.1	PF04281	Mitochondrial import receptor subunit Tom22		
Cellular functions	Organelle transport			T62.1	PF15178	Mitochondrial import receptor subunit TOM5 homolog		
Cellular functions	Organelle transport			T62.1	PF15184	Mitochondrial import receptor subunit TOM6 homolog		
Cellular functions	Organelle transport			T62.1	PF10568	Outer mitochondrial membrane transport complex protein		
Cellular functions	Organelle transport			T62.4	PF06552	Plant specific mitochondrial import receptor subunit TOM20		
Cellular functions	Motility			T162	PF14349	Motility related/secretion protein		
Cellular functions	Motility			T20.26	TIGR03518	ABC_perm_GldF: gliding motility-associated ABC transporter permease protein GldF		
Cellular functions	Motility			T20.26	COG1277	ABC-type transport system involved in multi-copper enzyme maturation, permease component		
Cellular functions	Motility			T20.26	PF09822	ABC-type uncharacterized transport system		
Cellular functions	Motility			T20.26	COG3225	ABC-type uncharacterized transport system involved in gliding motility, auxiliary component		
Cellular functions	Motility			T20.26	TIGR03522	GldA_ABC_ATP: gliding motility-associated ABC transporter ATP-binding subunit GldA		
Cellular functions	Motility			T20.26	TIGR03521	GldG: gliding-associated putative ABC transporter substrate-binding component GldG		
Cellular functions	Organelle transport			T108.1	COG5064	Karyopherin (importin) alpha		
Cellular functions	Organelle transport			T108.1	COG5215	Karyopherin (importin) beta		
Cellular functions	Organelle transport			T108.2	COG5101	Importin beta-related nuclear transport receptor		
Cellular functions	Organelle transport			T108.2	PF03810	Importin-beta N-terminal domain		
Cellular functions	Organelle transport			T108.2	COG5656	Importin, protein involved in nuclear import		
Cellular functions	Organelle transport			T108.2	PF01749	Importin beta binding domain		
Cellular functions	Organelle transport			T109.1	COG5102	Membrane protein involved in ER to Golgi transport		
Cellular functions	Organelle transport			T109.1	COG5120	Membrane protein involved in Golgi transport		
Cellular functions	Organelle transport			T109.2	PF10392	Golgi transport complex subunit 5		
Cellular functions	Organelle transport			T109.3	PF03821	Golgi 4-transmembrane spanning transporter		
Cellular functions	Organelle transport			T109.3	TIGR00799	mtp: Golgi 4-transmembrane spanning transporter		
Cellular functions	Organelle transport			T109.4	PF11704	Vesicle coat protein involved in Golgi to plasma membrane transport		
Cellular functions	Organelle transport			T109.4	PF05008	Vesicle transport v-SNARE protein N-terminus		
Cellular functions	Organelle transport			T109.5	PF12783	Guanine nucleotide exchange factor in Golgi transport N-terminal		
Cellular functions	Organelle transport			T109.6	PF13967	Late exocytosis, associated with Golgi transport		
Cellular functions	Organelle transport			T115	PF11989	Retrograde transport protein Dsl1 C terminal		
Cellular functions	Organelle transport			T115	PF11988	Retrograde transport protein Dsl1 N terminal		
Cellular functions	Organelle transport			T117	PF11262	Transcription factor/nuclear export subunit protein 2		
Cellular functions	Organelle transport			T118	PF11732	Transcription- and export-related complex subunit		
Cellular functions	Organelle transport			T119	COG5117	Protein involved in the nuclear export of pre-ribosomes		
Cellular functions	Organelle transport			T128	COG5079	Nuclear protein export factor		
Cellular functions	Organelle transport			T151	PF07970	Endoplasmic reticulum vesicle transporter		
Cellular functions	Organelle transport			T161	PF04212	MIT (microtubule interacting and transport) domain		
Cellular functions	Organelle transport			T164	PF02136	Nuclear transport factor 2 (NTF2) domain		
Cellular functions	Organelle transport			T174	COG5058	Protein transporter of the TRAM (translocating chain-associating membrane) superfamily, longevity assurance factor		
Cellular functions	Organelle transport			T178	COG5238	Ran GTPase-activating protein (RanGAP) involved in mRNA processing and transport		
Cellular functions	Organelle transport			T19.2	PF11700	Vacuole effluxer Atg22 like		
Cellular functions	Organelle transport			T195.1	COG5073	Vacuolar import and degradation protein		
Cellular functions	Organelle transport			T195.2	PF09783	Vacuolar import and degradation protein		
Cellular functions	Organelle transport			T195.3	COG5264	Vacuolar transporter chaperone		
Cellular functions	Organelle transport			T216	COG5347	GTPase-activating protein that regulates ARFs (ADP-ribosylation factors), involved in ARF-mediated vesicular transport		
Cellular functions	Organelle transport			T239	COG5167	Protein involved in vacuole import and degradation		
Cellular functions	Efflux			T12.1	TIGR00915	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family		
Cellular functions	Efflux			T12.1	TIGR01730	RND_mfp: efflux transporter, RND family, MFP subunit		
Cellular functions	Secretion			T145	COG5491	Conserved protein implicated in secretion		
Cellular functions	Secretion			T146	TIGR03815	CpaE_hom_Actino: helicase/secretion neighborhood CpaE-like protein		
Cellular functions	Secretion			T148	PF00188	Cysteine-rich secretory protein family		
Cellular functions	Secretion			T149	TIGR03817	DECH_helic: helicase/secretion neighborhood putative DEAH-box helicase		
Cellular functions	Secretion			T154	PF06951	Group XII secretory phospholipase A2 precursor (PLA2G12)		
Cellular functions	Secretion			T170	TIGR04183	Por_Secre_tail: Por secretion system C-terminal sorting domain		
Cellular functions	Secretion			T175	COG5158	Proteins involved in synaptic transmission and general secretion, Sec1 family		
Cellular functions	Secretion			T177	COG3926	Putative secretion activating protein		
Cellular functions	Secretion			T179	PF03583	Secretory lipase		
Cellular functions	Secretion			T181	TIGR03816	tadE_like_DECH: helicase/secretion neighborhood TadE-like protein		
Cellular functions	Secretion			T19.4	TIGR00900	2A0121: H+ Antiporter protein		
Cellular functions	Secretion			T19.4	PF05977	Transmembrane secretion effector		
Cellular functions	Secretion			T192	PF10661	WXG100 protein secretion system (Wss), protein EssA		
Cellular functions	Secretion			T192	PF10140	WXG100 protein secretion system (Wss), protein YukC		
Cellular functions	Secretion			T192	PF08817	WXG100 protein secretion system (Wss), protein YukD		
Cellular functions	Secretion			T194.1	PF06558	Secretion monitor precursor protein (SecM)		
Cellular functions	Secretion			T194.2	PF04888	Secretion system effector C (SseC) like family		
Cellular functions	Secretion			T194.3	PF08314	Secretory pathway protein Sec39		
Cellular functions	Secretion			T20.6	COG4618	ABC-type protease/lipase transport system, ATPase and permease components		
Cellular functions	Secretion			T20.6	TIGR01842	type_I_sec_PrtD: type I secretion system ATPase		
Cellular functions	Secretion			T207	PF15432	Accessory Sec secretory system ASP3		
Cellular functions	Secretion			T220	TIGR01593	holin_tox_secr: toxin secretion/phage lysis holin		
Cellular functions	Secretion			T240	COG4455	Protein of avirulence locus involved in temperature-dependent protein secretion		
Cellular functions	Secretion			T253	PF06664	Wnt-binding factor required for Wnt secretion		
Cellular functions	Secretion			T96	PF03865	Haemolysin secretion/activation protein ShlB/FhaC/HecB		
Cellular functions	Secretion			T96	COG2831	Hemolysin activation/secretion protein		
Cellular functions	Signalling			T20.27	TIGR01288	nodI: nodulation ABC transporter NodI		
Cellular functions	Signalling			T20.27	TIGR01291	nodJ: ABC-2 type transporter, NodJ family		
Cellular functions	Signalling			T31	PF02321	Outer membrane efflux protein		
Cellular functions	Signalling			T31	TIGR01845	outer_NodT: efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family		
Cellular functions	Signalling			T31	TIGR01844	type_I_sec_TolC: type I secretion outer membrane protein, TolC family		
Compatible solutes	Betaine|Carnitine|Choline		BCCT	T67	TIGR00842	bcct: transporter, betaine/carnitine/choline transporter (BCCT) family	Blueprint Marker	
Compatible solutes	Betaine|Carnitine|Choline		BCCT	T67	PF02028	BCCT family transporter	Blueprint Marker	
Compatible solutes	Betaine|Carnitine|Choline		BCCT	T67	COG1292	Choline-glycine betaine transporter	Blueprint Marker	
Compatible solutes	Choline			T168	PF04515	Plasma-membrane choline transporter		
Compatible solutes	Ectoine		ehuABCD	T20.19	TIGR03005	ectoine_ehuA: ectoine/hydroxyectoine ABC transporter, ATP-binding protein EhuA	Blueprint Marker	
Compatible solutes	Ectoine		ehuABCD	T20.19	TIGR02995	ectoine_ehuB: ectoine/hydroxyectoine ABC transporter solute-binding protein EhuB	Blueprint Marker	
Compatible solutes	Ectoine		ehuABCD	T20.19	TIGR03004	ectoine_ehuC: ectoine/hydroxyectoine ABC transporter, permease protein EhuC	Blueprint Marker	
Compatible solutes	Ectoine		ehuABCD	T20.19	TIGR03003	ectoine_ehuD: ectoine/hydroxyectoine ABC transporter, permease protein EhuD	Blueprint Marker	
Compatible solutes	proline|choline|glycine-betaine			T20.25	TIGR03414	ABC_choline_bnd: choline ABC transporter, periplasmic binding protein		
Compatible solutes	proline|choline|glycine-betaine			T20.25	TIGR03415	ABC_choXWV_ATP: choline ABC transporter, ATP-binding protein		
Compatible solutes	proline|choline|glycine-betaine			T20.25	TIGR03416	ABC_choXWV_perm: choline ABC transporter, permease protein		
Compatible solutes	proline|choline|glycine-betaine			T20.25	COG4175	ABC-type proline/glycine betaine transport system, ATPase component		
Compatible solutes	proline|choline|glycine-betaine			T20.25	COG4176	ABC-type proline/glycine betaine transport system, permease component		
Compatible solutes	proline|choline|glycine-betaine			T20.25	COG1125	ABC-type proline/glycine betaine transport systems, ATPase components		
Compatible solutes	proline|choline|glycine-betaine			T20.25	COG2113	ABC-type proline/glycine betaine transport systems, periplasmic components		
Compatible solutes	proline|choline|glycine-betaine			T20.25	COG1174	ABC-type proline/glycine betaine transport systems, permease component		
Compatible solutes	proline|choline|glycine-betaine			T20.25	COG1732	Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)		
Compatible solutes	proline|choline|glycine-betaine			T20.25	TIGR01186	proV: glycine betaine/L-proline transport ATP binding subunit		
Compatible solutes	proline|choline|glycine-betaine			T20.25	PF04069	Substrate binding domain of ABC-type glycine betaine transport system		
Ions	Ca			T231	PF12424	Plasma membrane calcium transporter ATPase C terminal		
Ions	Ca			T3.2	TIGR01522	ATPase-IIA2_Ca: calcium-transporting P-type ATPase, PMR1-type		
Ions	Ca|H			T107.19	COG4572	Putative cation transport regulator		
Ions	Ca|H			T107.3	COG0530	Ca2+/Na+ antiporter		
Ions	Cations			T158	TIGR00860	LIC: cation transporter family protein		
Ions	Cations			T159	COG2076	Membrane transporters of cations and cationic drugs		
Ions	Cations			T185	COG3703	Uncharacterized protein involved in cation transport		
Carbohydrates	Sugars			T19.1	TIGR00898	2A0119: cation transport protein		
Ions	Cations			T233	COG4756	Predicted cation transporter		
Ions	Cations			T3	COG0474	Cation transport ATPase		
Ions	Cations			T3	PF00689	Cation transporting ATPase, C-terminus		
Ions	Chromate		chrA	T99	PF02417	Chromate transporter	Blueprint Marker	
Ions	Chromate		chrA	T99	TIGR00937	2A51: chromate efflux transporter	Blueprint Marker	
Ions	Chromate		chrA	T99	COG2059	Chromate transport protein ChrA	Blueprint Marker	
Ions	Chromate		chrA	T99	PF09828	Chromate resistance exported protein	Blueprint Marker	
Ions	Electrons		rnf	T78	TIGR01943	rnfA: electron transport complex, RnfABCDGE type, A subunit		
Ions	Electrons		rnf	T78	TIGR01944	rnfB: electron transport complex, RnfABCDGE type, B subunit		
Ions	Electrons		rnf	T78	TIGR01945	rnfC: electron transport complex, RnfABCDGE type, C subunit		
Ions	Electrons		rnf	T78	TIGR01946	rnfD: electron transport complex, RnfABCDGE type, D subunit		
Ions	Electrons		rnf	T78	TIGR01948	rnfE: electron transport complex, RnfABCDGE type, E subunit		
Ions	Electrons		rnf	T78	TIGR01947	rnfG: electron transport complex, RnfABCDGE type, G subunit		
Ions	H			T3.3	TIGR01647	ATPase-IIIA_H: plasma-membrane proton-efflux P-type ATPase		
Ions	Ions			T107.11	PF08412	Ion transport protein N-terminal		
Ions	Ions			T107.16	TIGR00863	P2X: cation transporter protein		
Ions	Ions			T107.21	PF12409	P5-type ATPase cation transporter		
Ions	Ions			T107.22	COG1824	Permease, similar to cation transporters		
Ions	Ions			T107.4	COG2217	Cation transport ATPase		
Ions	Ions			T107.4	PF00690	Cation transporter/ATPase, N-terminus		
Ions	K			T107.12	COG0569	K+ transport systems, NAD-binding component		
Ions	K			T107.17	COG2072	Predicted flavoprotein involved in K+ transport		
Ions	K			T56.1	COG2060	K+-transporting ATPase, A chain		
Ions	K			T56.1	COG2156	K+-transporting ATPase, c chain		
Ions	K			T56.1	PF02669	K+-transporting ATPase, c chain		
Ions	K			T56.1	TIGR00680	kdpA: K+-transporting ATPase, A subunit		
Ions	K			T56.1	TIGR01497	kdpB: K+-transporting ATPase, B subunit		
Ions	K			T56.1	TIGR00681	kdpC: K+-transporting ATPase, C subunit		
Ions	K			T56.1	PF09604	F subunit of K+-transporting ATPase (Potass_KdpF)		
Ions	K			T56.1	TIGR02115	potass_kdpF: K+-transporting ATPase, F subunit		
Ions	K			T56.1	PF03814	Potassium-transporting ATPase A subunit		
Ions	K			T56.1	COG2216	High-affinity K+ transport system, ATPase chain B		
Ions	K			T56.2	TIGR00934	2a38euk: potassium uptake protein, Trk family		
Ions	K			T56.2	PF02705	K+ potassium transporter		
Ions	K			T56.2	TIGR00794	kup: potassium uptake protein		
Ions	K			T56.2	COG3158	K+ transporter		
Ions	K			T56.2	TIGR00933	2a38: potassium uptake protein, TrkH family		
Ions	K			T56.2	COG0168	Trk-type K+ transport systems, membrane components		
Ions	K			T56.2	PF02386	Cation transport protein		
Ions	K			T56.3	TIGR00932	2a37: transporter, monovalent cation:proton antiporter-2 (CPA2) family		
Ions	K			T56.3	COG4651	Kef-type K+ transport system, predicted NAD-binding component		
Ions	K			T56.3	COG0475	Kef-type K+ transport systems, membrane components		
Ions	K			T56.3	PF00520	Ion transport protein		
Ions	K			T56.3	COG1226	Kef-type K+ transport systems, predicted NAD-binding component		
Ions	K|Cl			T106.11	TIGR00930	2a30: K-Cl cotransporter		
Ions	K|Cl			T106.11	PF03522	K-Cl Co-transporter type 1 (KCC1)		
Ions	Na			T107.10	TIGR00859	ENaC: sodium channel transporter		
Ions	Na			T107.13	TIGR03647	Na_symport_sm: putative solute:sodium symporter small subunit		
Ions	Na			T107.15	COG3630	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, gamma subunit		
Ions	Na			T107.20	PF06512	Sodium ion transport-associated		
Ions	Na		Nat	T20.23	COG1668	ABC-type Na+ efflux pump, permease component	NatB	
Ions	Na		Nat	T20.23	COG4555	ABC-type Na+ transport system, ATPase component	NatA	
Ions	Na			T72	COG1883	Na+-transporting methylmalonyl-CoA/oxaloacetate decarboxylase, beta subunit		
Ions	Na			T72	PF03977	Na+-transporting oxaloacetate decarboxylase beta subunit		
Ions	Na		NQR	T77	COG1726	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrA		
Ions	Na		NQR	T77	COG1805	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrB		
Ions	Na		NQR	T77	COG2869	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrC		
Ions	Na		NQR	T77	COG1347	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrD		
Ions	Na		NQR	T77	COG2209	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE		
Ions	Na		NQR	T77	COG2871	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrF		
Ions	Na			T83	COG0733	Na+-dependent transporters of the SNF family		
